time,mac,type,RSSI,uuid
2023-03-18T14:57:18.447237,68:e9:ec:8c:93:cf,random,-67,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:18.986584,68:e9:ec:8c:93:cf,random,-73,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:19.282782,68:e9:ec:8c:93:cf,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:19.960179,68:e9:ec:8c:93:cf,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:22.117801,68:e9:ec:8c:93:cf,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:24.039784,68:e9:ec:8c:93:cf,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:31.596973,68:e9:ec:8c:93:cf,random,-63,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:31.993100,68:e9:ec:8c:93:cf,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:32.277266,68:e9:ec:8c:93:cf,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:32.549379,68:e9:ec:8c:93:cf,random,-76,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:33.100896,68:e9:ec:8c:93:cf,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:33.530640,68:e9:ec:8c:93:cf,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:34.064795,68:e9:ec:8c:93:cf,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:35.157990,68:e9:ec:8c:93:cf,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:35.546309,68:e9:ec:8c:93:cf,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-18T14:57:36.094414,68:e9:ec:8c:93:cf,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
