time,mac,type,RSSI,uuid
2022-12-02T00:41:07.356740,47:bf:c7:7d:1f:d5,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:07.875520,47:bf:c7:7d:1f:d5,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:08.378138,47:bf:c7:7d:1f:d5,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:13.624284,66:0f:cf:3e:d8:9b,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:14.281478,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:14.728550,66:0f:cf:3e:d8:9b,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:15.172069,66:0f:cf:3e:d8:9b,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:15.624340,66:0f:cf:3e:d8:9b,random,-73,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:16.387242,66:0f:cf:3e:d8:9b,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:16.936900,66:0f:cf:3e:d8:9b,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:17.427151,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:17.874804,66:0f:cf:3e:d8:9b,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:18.374692,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:18.820909,66:0f:cf:3e:d8:9b,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:20.310893,66:0f:cf:3e:d8:9b,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:21.976012,66:0f:cf:3e:d8:9b,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:41:22.510737,66:0f:cf:3e:d8:9b,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
