time,mac,type,RSSI,uuid
2022-12-01T23:20:54.603418,66:0f:cf:3e:d8:9b,random,-36,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:55.145920,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:55.919975,66:0f:cf:3e:d8:9b,random,-37,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:56.473160,66:0f:cf:3e:d8:9b,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:57.013086,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:57.540660,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:58.083515,66:0f:cf:3e:d8:9b,random,-67,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:58.894038,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:59.437504,66:0f:cf:3e:d8:9b,random,-47,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:20:59.932780,66:0f:cf:3e:d8:9b,random,-30,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:00.431690,66:0f:cf:3e:d8:9b,random,-32,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:00.915566,66:0f:cf:3e:d8:9b,random,-43,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:01.459899,66:0f:cf:3e:d8:9b,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:02.045328,66:0f:cf:3e:d8:9b,random,-45,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:02.490753,66:0f:cf:3e:d8:9b,random,-45,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-01T23:21:03.036971,66:0f:cf:3e:d8:9b,random,-46,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:45.081062,66:0f:cf:3e:d8:9b,random,-46,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:45.629807,66:0f:cf:3e:d8:9b,random,-48,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:46.447123,66:0f:cf:3e:d8:9b,random,-61,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:46.932043,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:47.472059,66:0f:cf:3e:d8:9b,random,-53,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:48.058875,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:48.550914,66:0f:cf:3e:d8:9b,random,-48,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:49.137200,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:49.635899,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:50.127894,66:0f:cf:3e:d8:9b,random,-52,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:50.623602,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:51.215951,66:0f:cf:3e:d8:9b,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:51.700915,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:52.206057,66:0f:cf:3e:d8:9b,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:52.776067,66:0f:cf:3e:d8:9b,random,-65,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:53.279821,66:0f:cf:3e:d8:9b,random,-53,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:53.832192,66:0f:cf:3e:d8:9b,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:54.688628,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:55.223864,66:0f:cf:3e:d8:9b,random,-53,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:55.798642,66:0f:cf:3e:d8:9b,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:56.343669,66:0f:cf:3e:d8:9b,random,-73,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:56.901426,66:0f:cf:3e:d8:9b,random,-62,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:57.418759,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:58.054917,66:0f:cf:3e:d8:9b,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:58.551113,66:0f:cf:3e:d8:9b,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:59.007382,66:0f:cf:3e:d8:9b,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:43:59.508749,66:0f:cf:3e:d8:9b,random,-56,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:00.357056,66:0f:cf:3e:d8:9b,random,-44,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:01.031354,66:0f:cf:3e:d8:9b,random,-63,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:01.619117,66:0f:cf:3e:d8:9b,random,-44,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:02.193825,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:03.020189,66:0f:cf:3e:d8:9b,random,-38,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:03.506202,66:0f:cf:3e:d8:9b,random,-37,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:04.076337,66:0f:cf:3e:d8:9b,random,-57,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:04.633831,66:0f:cf:3e:d8:9b,random,-67,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:05.170034,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:05.676323,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:06.201395,66:0f:cf:3e:d8:9b,random,-57,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:06.704518,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:07.256464,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:07.745164,66:0f:cf:3e:d8:9b,random,-66,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:08.323874,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:08.862779,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:09.692212,66:0f:cf:3e:d8:9b,random,-65,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:10.212759,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:10.751688,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:11.297070,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:11.840351,66:0f:cf:3e:d8:9b,random,-57,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:12.335339,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:12.823985,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:13.499014,66:0f:cf:3e:d8:9b,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:13.998486,66:0f:cf:3e:d8:9b,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:14.493933,66:0f:cf:3e:d8:9b,random,-52,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:15.029225,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:15.619574,66:0f:cf:3e:d8:9b,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:16.125693,66:0f:cf:3e:d8:9b,random,-52,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:16.700639,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:17.516740,66:0f:cf:3e:d8:9b,random,-52,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:18.058048,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:18.924668,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:19.783159,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:20.259296,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:20.796443,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:21.346985,66:0f:cf:3e:d8:9b,random,-53,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:21.834948,66:0f:cf:3e:d8:9b,random,-69,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:22.386593,66:0f:cf:3e:d8:9b,random,-57,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:22.915519,66:0f:cf:3e:d8:9b,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:23.463306,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:23.954691,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:24.454348,66:0f:cf:3e:d8:9b,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:24.947657,66:0f:cf:3e:d8:9b,random,-50,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:25.444093,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:25.943056,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:26.530913,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:27.065860,66:0f:cf:3e:d8:9b,random,-50,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:27.560836,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:28.054981,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:28.595177,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:29.097005,66:0f:cf:3e:d8:9b,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:29.679461,66:0f:cf:3e:d8:9b,random,-65,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:30.215801,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:30.758401,66:0f:cf:3e:d8:9b,random,-68,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:31.254755,66:0f:cf:3e:d8:9b,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:31.794946,66:0f:cf:3e:d8:9b,random,-56,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:32.380397,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:32.933228,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:33.790034,66:0f:cf:3e:d8:9b,random,-56,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:34.236015,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:34.817571,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:35.403367,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:35.902845,66:0f:cf:3e:d8:9b,random,-49,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:36.460992,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:36.994421,66:0f:cf:3e:d8:9b,random,-71,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:37.463124,66:0f:cf:3e:d8:9b,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:37.992095,66:0f:cf:3e:d8:9b,random,-56,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:38.514454,66:0f:cf:3e:d8:9b,random,-51,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:39.379733,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:39.954800,66:0f:cf:3e:d8:9b,random,-70,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:40.491116,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:41.025215,66:0f:cf:3e:d8:9b,random,-50,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:41.574913,66:0f:cf:3e:d8:9b,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:42.065105,66:0f:cf:3e:d8:9b,random,-50,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:42.614055,66:0f:cf:3e:d8:9b,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:43.162452,66:0f:cf:3e:d8:9b,random,-45,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:43.734486,66:0f:cf:3e:d8:9b,random,-55,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:44.298652,66:0f:cf:3e:d8:9b,random,-36,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:44.824320,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:45.365270,66:0f:cf:3e:d8:9b,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:45.866134,66:0f:cf:3e:d8:9b,random,-61,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:46.347858,66:0f:cf:3e:d8:9b,random,-48,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:49.252781,66:0f:cf:3e:d8:9b,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:49.735659,66:0f:cf:3e:d8:9b,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:50.269240,66:0f:cf:3e:d8:9b,random,-75,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:50.846474,66:0f:cf:3e:d8:9b,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:51.346333,66:0f:cf:3e:d8:9b,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:51.849892,66:0f:cf:3e:d8:9b,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:52.383837,66:0f:cf:3e:d8:9b,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:53.983103,66:0f:cf:3e:d8:9b,random,-73,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:54.541299,66:0f:cf:3e:d8:9b,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:55.416206,66:0f:cf:3e:d8:9b,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:55.996721,66:0f:cf:3e:d8:9b,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:56.849179,66:0f:cf:3e:d8:9b,random,-66,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:57.755172,66:0f:cf:3e:d8:9b,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:58.334509,66:0f:cf:3e:d8:9b,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2022-12-02T00:44:58.875009,66:0f:cf:3e:d8:9b,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
