time,mac,type,RSSI,uuid
2023-01-03T16:55:28.873570,5d:27:5e:71:51:ac,random,-44,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:29.427936,5d:27:5e:71:51:ac,random,-65,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:29.982362,5d:27:5e:71:51:ac,random,-47,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:30.869212,5d:27:5e:71:51:ac,random,-66,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:31.393505,5d:27:5e:71:51:ac,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:31.970438,5d:27:5e:71:51:ac,random,-43,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:32.511799,5d:27:5e:71:51:ac,random,-40,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:33.101026,5d:27:5e:71:51:ac,random,-42,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:33.697099,5d:27:5e:71:51:ac,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:34.500825,5d:27:5e:71:51:ac,random,-62,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:35.034195,5d:27:5e:71:51:ac,random,-54,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:35.583235,5d:27:5e:71:51:ac,random,-53,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:36.138451,5d:27:5e:71:51:ac,random,-61,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:36.727934,5d:27:5e:71:51:ac,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:37.332667,5d:27:5e:71:51:ac,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:37.906444,5d:27:5e:71:51:ac,random,-60,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:38.434710,5d:27:5e:71:51:ac,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:38.985109,5d:27:5e:71:51:ac,random,-41,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:39.511016,5d:27:5e:71:51:ac,random,-59,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:40.087170,5d:27:5e:71:51:ac,random,-57,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:40.638742,5d:27:5e:71:51:ac,random,-58,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:41.172055,5d:27:5e:71:51:ac,random,-61,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:41.728367,5d:27:5e:71:51:ac,random,-41,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:42.282399,5d:27:5e:71:51:ac,random,-66,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:42.874619,5d:27:5e:71:51:ac,random,-52,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:43.366792,5d:27:5e:71:51:ac,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:43.947318,5d:27:5e:71:51:ac,random,-38,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:44.481051,5d:27:5e:71:51:ac,random,-64,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:44.997981,5d:27:5e:71:51:ac,random,-56,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:45.536257,5d:27:5e:71:51:ac,random,-41,0000f22e-0000-1000-8000-00805f9b34fb
2023-01-03T16:55:46.073026,5d:27:5e:71:51:ac,random,-47,0000f22e-0000-1000-8000-00805f9b34fb
